"Cell1"	"Cell2"	"Cell3"	"Cell4"	"Cell5"	"Cell6"	"Cell7"	"Cell8"	"Cell9"	"Cell10"	"Cell11"	"Cell12"	"Cell13"	"Cell14"	"Cell15"	"Cell16"	"Cell17"	"Cell18"	"Cell19"	"Cell20"	"Cell21"	"Cell22"	"Cell23"	"Cell24"	"Cell25"	"Cell26"	"Cell27"	"Cell28"	"Cell29"	"Cell30"	"Cell31"	"Cell32"	"Cell33"	"Cell34"	"Cell35"	"Cell36"	"Cell37"	"Cell38"	"Cell39"	"Cell40"	"Cell41"	"Cell42"	"Cell43"	"Cell44"	"Cell45"	"Cell46"	"Cell47"	"Cell48"	"Cell49"	"Cell50"	"Cell51"	"Cell52"	"Cell53"	"Cell54"	"Cell55"	"Cell56"	"Cell57"	"Cell58"	"Cell59"	"Cell60"	"Cell61"	"Cell62"	"Cell63"	"Cell64"	"Cell65"	"Cell66"	"Cell67"	"Cell68"	"Cell69"	"Cell70"	"Cell71"	"Cell72"	"Cell73"
"CFD"	-4.38400045529751	-3.54535516187588	13.8564645762696	-3.67641834395408	7.57474197762383	9.47679262525608	-3.85945525500272	-3.42259531703811	-3.39845790130682	10.212868224386	-3.34871052906309	-3.24147533558598	-3.53309074462103	-4.08134345469125	-4.22096971512673	-4.38400045529751	-4.36228864021914	-3.11248928843602	-3.01497946628932	-3.9518299230974	9.54821249498642	-2.90281580811171	-1.43825252324269	-3.19636292216603	12.136427596081	-2.35875518966778	-4.29318735091286	-3.61489321234394	10.9849750553419	14.8240530736333	-4.38400045529751	-3.43164398777361	-4.30876959096423	-3.36022225922591	-4.2187715689323	9.93017819422378	-3.89670196581787	-3.21365197713198	-3.01748760143909	-3.34871052906309	13.8564645762696	-4.2187715689323	-3.34557781926374	-3.24556412385025	-4.21987064202951	14.8240530736333	-1.21704623143761	-3.4239980362381	-3.56351393544055	-2.60982033779587	-4.35219322112097	-4.18663425700757	-4.26817405501937	-3.35382335563782	-4.26817405501937	-4.29318735091286	6.89750019629573	7.22895310697954	-3.82708190832407	1.15994151515207	-3.87063384630624	-2.65104702474832	-3.16312352104563	-4.36228864021914	-4.29715319498402	-3.15476197832059	-2.9327283075887	-3.35893618221255	-4.29715319498402	-3.4808334738882	-4.30211990840025	-3.15824200406801	-4.35724093067006
"CHCHD2"	12.4797302286955	12.3205394250362	11.6658916017525	11.611260744716	12.7055794016129	8.95799053688928	11.0085640461568	12.035874257927	11.8732761344163	12.6423146726166	12.0628398720505	11.7091881364968	12.2767654299755	11.8514991532467	11.8732761344163	12.3205394250362	12.4797302286955	9.95908654251971	10.1505290018215	12.0628398720505	9.52321670237709	9.82233252204239	9.97295644389214	13.1208828310256	9.66427567199255	10.3080196540175	11.7091881364968	10.1921339191891	13.1208828310256	9.95459098076272	14.2604299753788	11.8514991532467	11.9273334544456	13.577417809887	11.8258325771079	13.0086833855737	14.2604299753788	13.2805583494995	12.1653622399241	12.3205394250362	11.9273334544456	13.1208828310256	11.73293258342	11.0635774835657	11.5954787373782	11.3971749037123	7.98139038551428	12.4327340763861	11.6658916017525	11.8514991532467	12.4327340763861	12.1653622399241	12.7798846343486	11.3514058130742	9.4665334166163	13.0086833855737	11.2859948939431	12.3934073354773	11.9273334544456	11.3829831307689	12.3934073354773	11.0085640461568	11.8039598720058	12.7055794016129	13.8564645762696	12.3541103833475	11.0174644926496	12.7798846343486	11.5255870959041	11.9536978966166	12.0976945608784	12.6423146726166	12.0976945608784
"SLC6A4"	-4.35219322112097	-3.54535516187588	-3.51518875846807	10.5468983247766	-3.57057338628167	-3.37902259599041	12.2360047283973	10.2500084900198	13.4008131637751	-1.62223935932674	6.26033423970721	-3.24147533558598	-3.53309074462103	-4.08134345469125	-2.5977563963597	-4.29715319498402	-4.19749016454676	14.8240530736333	12.0628398720505	-3.9518299230974	-3.54752969742284	12.7798846343486	8.66052792014557	-3.19636292216603	-0.22251912240405	10.81927628909	-4.29318735091286	7.58168368957401	-4.11258362067086	-3.26674612298414	-4.38400045529751	-3.43164398777361	-2.67668888856456	-3.36022225922591	-4.2187715689323	-3.42540075543808	12.5287626368796	-3.21365197713198	8.39441203163201	9.95908654251971	-3.44266781356818	13.577417809887	-3.34557781926374	11.9816469888508	-4.21987064202951	-2.52545808744516	10.5468983247766	-3.4239980362381	-3.56351393544055	-2.60982033779587	-4.11258362067086	-4.18663425700757	11.6266680337892	-3.35382335563782	-4.26817405501937	14.8240530736333	-0.971413513489158	-0.922233501238949	-3.82708190832407	9.96118433728539	-3.87063384630624	10.6295752908661	-3.16312352104563	-2.72946525743457	13.0086833855737	-3.15476197832059	-2.9327283075887	-3.35893618221255	-3.53309074462103	1.63120966942595	-4.30211990840025	-3.15824200406801	-2.59001410375122
"POSTN"	-4.00184010134851	0.140635436116489	9.50265212153267	-3.67641834395408	10.1441812945042	6.8546526194455	-3.85945525500272	-3.42259531703811	-3.39845790130682	8.24804218561471	-3.34871052906309	-3.24147533558598	-3.53309074462103	2.47477920226376	-3.2810454864472	-3.94097401555821	-2.95027343186679	-3.11248928843602	-3.01497946628932	-3.9518299230974	12.035874257927	-2.90281580811171	-1.43825252324269	-3.19636292216603	5.87693358640847	-2.35875518966778	3.09490980182611	-3.61489321234394	2.87882393341972	10.9849750553419	-2.51714362057504	-3.43164398777361	-4.30876959096423	1.95558585639735	-4.2187715689323	0.683342456748436	-3.89670196581787	-3.21365197713198	-3.01748760143909	-3.34871052906309	0.452747270561197	-3.55552181643169	14.8240530736333	-3.24556412385025	-4.21987064202951	5.81905728190166	-1.21704623143761	-1.28519258498163	-3.56351393544055	-2.60982033779587	4.30694351916458	-4.18663425700757	-4.26817405501937	1.8217920652948	7.54878293551542	-4.29318735091286	-0.971413513489158	-0.922233501238949	-3.82708190832407	1.15994151515207	-3.87063384630624	-2.65104702474832	-3.16312352104563	-3.87063384630624	-4.29715319498402	2.30918193159744	-2.9327283075887	-3.35893618221255	-4.29715319498402	-3.4808334738882	-3.11248928843602	-3.15824200406801	-3.13517510835788
"TPH2"	-4.25525054170932	-3.54535516187588	-3.51518875846807	13.4008131637751	-3.57057338628167	-3.37902259599041	12.2767654299755	11.3262420280064	12.5287626368796	-1.62223935932674	11.2133441069829	-3.24147533558598	-3.53309074462103	-2.43007956142052	-4.22096971512673	-3.75091487018633	-3.8582560309852	12.5861622853987	12.7798846343486	-0.331286583307681	-3.54752969742284	13.1208828310256	9.04725238688369	-3.19636292216603	-0.22251912240405	11.2133441069829	-4.29318735091286	10.1441812945042	-2.31186659167523	-3.26674612298414	-1.20230164809522	-3.43164398777361	4.14751704478202	-3.36022225922591	-3.43571485950683	-3.42540075543808	13.8564645762696	-3.21365197713198	12.2767654299755	12.1653622399241	-3.44266781356818	14.2604299753788	-3.34557781926374	13.2805583494995	-2.95446567309254	-2.52545808744516	11.0283370905826	-3.4239980362381	-3.56351393544055	-2.60982033779587	-3.42540075543808	-4.18663425700757	10.9089407216925	-3.35382335563782	-4.26817405501937	12.3205394250362	-0.971413513489158	-0.922233501238949	-3.82708190832407	11.5255870959041	-3.87063384630624	11.3126937521196	-3.16312352104563	-3.02246456098156	13.577417809887	-3.15476197832059	-2.9327283075887	-3.35893618221255	-4.29715319498402	-3.4808334738882	-2.97263997227524	-3.15824200406801	-4.00184010134851
"SLC25A5"	11.3514058130742	13.8564645762696	12.2767654299755	9.53950473227646	13.0086833855737	7.83463688533566	9.62598058325914	11.1780456081173	9.83229277678134	13.2805583494995	9.85956439513705	13.0086833855737	13.8564645762696	10.9379399511323	11.5455382501991	12.0083417489359	11.5085968091954	11.3126937521196	6.8546526194455	10.4206551359711	11.8988364222698	4.45384348745167	10.0570656385103	13.0086833855737	12.0083417489359	8.06695947356868	10.7288839087051	5.40417232517798	12.6423146726166	13.0086833855737	11.4912772448172	13.4008131637751	9.96328213205107	13.4008131637751	11.1228193691891	12.7798846343486	9.40204071685252	13.1208828310256	8.71641302444224	7.16489108232033	12.8438439957786	6.72936251185756	12.8438439957786	9.85956439513705	10.810647394088	13.0086833855737	11.6266680337892	12.8438439957786	12.9255830010845	13.1208828310256	11.6266680337892	11.6906095011463	5.35002327298628	14.8240530736333	11.5255870959041	6.19833994168914	12.5861622853987	13.0086833855737	12.7798846343486	8.7986440334034	13.577417809887	10.3825161976679	13.577417809887	11.9536978966166	8.69453850357954	13.2805583494995	13.0086833855737	13.577417809887	9.84049913793721	8.522539859844	11.9536978966166	12.5287626368796	7.25161226458098
"ATP5B"	12.9255830010845	12.3934073354773	11.7091881364968	10.8275706019423	13.2805583494995	8.48414430532778	10.7202937860811	10.3647678664175	9.62185466184568	13.0086833855737	10.5637775882821	12.9255830010845	13.0086833855737	11.3971749037123	12.4327340763861	12.5861622853987	11.562082566111	9.49522973754108	9.3942794607327	11.9816469888508	10.7362347153707	10.6145968779006	9.76374860694513	12.3541103833475	10.7448709666003	9.5525106724689	12.136427596081	11.5455382501991	12.8438439957786	11.8732761344163	12.3541103833475	12.5287626368796	12.0628398720505	12.2767654299755	10.9657393523055	13.1208828310256	11.5255870959041	13.8564645762696	10.5997541941558	9.64019876918554	12.2767654299755	9.82233252204239	12.2360047283973	9.89195990968567	11.9273334544456	11.611260744716	8.97386333548919	13.1208828310256	12.5861622853987	13.0086833855737	12.5861622853987	11.7562714956224	11.1228193691891	12.8438439957786	12.7055794016129	11.6906095011463	13.577417809887	14.2604299753788	12.0628398720505	10.682016911933	12.6423146726166	11.2621436349991	13.1208828310256	12.4797302286955	11.5773563731311	13.4008131637751	11.7758543314985	12.8438439957786	11.8988364222698	13.8564645762696	12.2360047283973	12.0083417489359	11.5255870959041
"SNHG11"	11.7562714956224	-3.54535516187588	-1.17873800667705	8.27720246255007	-0.5840086127555	9.70142302552584	10.7448709666003	10.9470694380276	10.0108504354427	-1.62223935932674	4.14408220095086	-3.24147533558598	-1.92084469182293	11.3408712985634	10.5407820575184	8.81297018178014	8.58831079118374	1.87047754193023	8.16809321728069	10.6981911897431	-1.20808283979783	7.51078445253291	12.0628398720505	-3.19636292216603	5.04835658750928	8.54916962050779	13.577417809887	10.5407820575184	3.02949216894902	5.72157023331873	6.82079319837242	-3.43164398777361	12.7055794016129	-1.04737968690323	6.28959730849847	0.256137458905277	13.577417809887	0.928571451286891	5.12623638318587	2.46422832553435	-3.44266781356818	13.8564645762696	0.999974653699864	13.0086833855737	13.2805583494995	-2.52545808744516	6.51033537007687	-3.4239980362381	-3.56351393544055	3.11020548604345	12.3205394250362	13.0086833855737	10.1559905930622	-3.35382335563782	6.48299648295535	12.0628398720505	3.96467732890909	-0.922233501238949	-2.21830710763514	6.03894952648299	-3.87063384630624	6.23876650807681	0.392014954145941	12.0976945608784	12.8438439957786	-0.307624042644838	-2.9327283075887	-3.35893618221255	11.8039598720058	6.92574043744399	13.0086833855737	1.15434516318283	11.8732761344163
"MEG3"	13.1208828310256	4.8997983381061	3.29839820143961	10.77487313623	9.80782409676548	6.68916203535392	11.9536978966166	13.577417809887	11.0393396990357	-1.62223935932674	9.51872264254358	-3.24147533558598	2.85289294217235	13.4008131637751	11.8988364222698	11.2510776144684	10.4376143287219	6.77196413126565	13.4008131637751	11.8039598720058	12.8438439957786	10.0384641904813	12.3205394250362	-0.533477047541103	9.07605460270908	12.9255830010845	14.2604299753788	13.8564645762696	-2.62076615025864	9.05515554376479	3.42324899629397	4.21439434824386	14.2604299753788	5.68294517127153	11.4293891779867	-3.42540075543808	12.3205394250362	8.99792876326255	12.4797302286955	10.6145968779006	4.4461223442635	12.5287626368796	9.72822959698423	14.8240530736333	13.577417809887	2.33932075862381	9.35593847719571	3.81119317854281	4.29244468284704	3.80770004634641	13.577417809887	13.577417809887	11.5773563731311	-0.654843814765177	11.0635774835657	11.9816469888508	-0.971413513489158	-0.922233501238949	5.73965572512402	10.2796990740857	8.21077520634078	11.3829831307689	2.6915910341469	13.0086833855737	14.2604299753788	7.32013384745544	6.41320076378278	10.7448709666003	13.8564645762696	10.8012109499282	14.8240530736333	8.92151634259459	13.2805583494995
"ATP5A1"	12.2037844990713	13.4008131637751	11.73293258342	12.4327340763861	13.1208828310256	11.5085968091954	11.6658916017525	11.6658916017525	10.9379399511323	13.1208828310256	11.2738197976446	12.8438439957786	13.1208828310256	12.136427596081	13.0086833855737	12.2360047283973	12.7055794016129	11.5255870959041	11.2621436349991	12.7798846343486	12.2360047283973	11.2979868372244	12.5861622853987	12.7798846343486	10.1208248075688	9.48621063166316	12.9255830010845	12.3205394250362	13.2805583494995	12.136427596081	11.6442554987305	11.4450472437095	11.8039598720058	12.035874257927	12.5287626368796	13.4008131637751	9.59259531714294	13.4008131637751	11.9273334544456	11.4912772448172	12.2037844990713	10.2500084900198	11.562082566111	6.22946919619566	12.0628398720505	9.79473315124821	9.79099509372645	12.3541103833475	11.2621436349991	12.1653622399241	11.6658916017525	11.8988364222698	11.9536978966166	13.2805583494995	11.4600682387969	11.6658916017525	12.8438439957786	13.577417809887	11.7758543314985	13.2805583494995	12.8438439957786	12.9255830010845	12.3541103833475	12.7798846343486	11.7758543314985	12.6423146726166	10.6746649613097	13.0086833855737	12.3541103833475	13.4008131637751	12.4327340763861	13.0086833855737	11.7562714956224
