"PC1" "PC2" "PC3"
"DYNLL2" -0.0269721987314032 0.0131960668895414 -0.00142000095139159
"FXYD6" -0.0444490602888723 -0.0112290801082778 0.0117778164397837
"SCG2" -0.0637008120950654 -0.00714198961230648 0.00891393437914706
"VIM" 0.0484868790108761 0.00601559985250521 -0.00996122840275819
"ACADL" 0.0516351501029068 -0.000339686699904268 0.0209721467699372
"STMN3" -0.0673692736651529 -0.0106996702476202 -0.0124665858743288
"GABARAPL1" -0.0278682259354488 0.013275704475843 -0.00923579488442764
"IFRD1" 0.0307569155275892 0.00970731293511469 0.00644035630953778
"PRR18" -0.00851677236266452 0.0144733762347341 0.0226080817757001
"H3F3B" 0.00783813364444534 -0.00709479123804189 -0.00115757836841188
"TPM1" 0.022406342025895 -0.0167300116226033 0.00809294326909642
"NDUFA1" 0.00436173385608967 -0.00935228198726273 0.00732357242812918
"UCP1" 0.016679614529933 0.0692564092022815 -0.0098111153152203
"FAM162A" 0.0274474649522336 -0.0242660178243351 -0.00630890939210571
"ARMCX2" -0.00934579756656994 -0.0485320044984952 0.0141622280419164
"SEPT3" -0.0471413602286347 -0.0164920091256619 -0.0154123758182208
"VSNL1" -0.0650858710364886 -0.00891012049990834 -0.00124985986084987
"GLUL" -0.00835066754711456 0.0328107024946504 0.00999620717414597
"DECR1" 0.0423537572956704 0.0270124764000163 0.0197673342842255
"IDH3A" 0.0153228720206305 -0.0074730808620484 -0.0125578096398752
"PSMB4" -0.000218780261096646 -0.00247234478669387 -0.00719573148883073
"CPE" -0.0231204079295159 -0.0656200219896241 0.000322195587806177
"TSPYL4" -0.0479073009610221 -0.0211374964006757 0.00186723346461957
"SPP1" 0.00371286555439728 0.0507606491083597 0.0152015668450382
"EPHX2" 0.0479720386979086 0.0278516452231828 0.0116705097265052
"SUCLA2" 0.0147984470927697 -0.0148375901916371 -0.0195490633676136
"PEA15A" -0.0305267535379843 0.007740553347503 0.0341216321304467
"BEX2" -0.055734162572979 -0.0257379310876936 0.00760775322677605
"CAT" 0.0239131850586402 0.0400107521583907 0.00523601870478726
"TBCA" 0.00945288796843886 -0.0175309467764067 0.00706582815311181
"2410022L05RIK" -0.0148877236174074 -0.03400366294447 0.0048198653672109
"DLD" 0.0237477595085698 -0.00893143305174209 -0.015340024860691
"CALM1" -0.0147962143111507 0.00284730315609234 -0.0150346688427042
"SERBP1" 0.0075887932144762 -0.00778957867140116 -0.0141630636693565
"SYT13" -0.0441639895344986 0.00768350198288531 0.0278305809265346
"COX5A" 0.0077975681134303 -0.00571648837760519 -0.0199032639550792
"SAR1A" 0.000769712509287828 0.00497796563035554 -0.00682307838105915
"ATP2A2" 0.00309749167350343 -0.028216541265199 -0.0123175714464387
"MYL3" 0.045276083303466 -0.0678365073943428 0.0354010284163996
"PCBP1" 0.0115388430735106 -0.00256992253317802 0.00123223244214923
"CCL4" -0.0227742091394379 0.032479515090161 0.0871758570116511
"DYNC1H1" -0.00702468384585497 0.00291724207179257 -0.00697975799852175
"SRXN1" -0.02194355217701 0.0533946861961845 -0.0210041141601373
"BASP1" -0.0473577252775215 0.026711197522843 -0.0221141685667198
"HSPA8" -0.0156412271056486 -0.0226664597425029 0.0020009778150092
"GPRASP1" -0.0385336333764375 -0.0343493373591589 0.00945282773423877
"NDUFB6" 0.00695672075312311 -0.00791334965789209 -0.0107495413134493
"TMX4" -0.0103955730566729 -0.0335642529591871 0.0128749972233357
"CD81" 0.00456232988962451 -0.00204901521643854 0.0261287423207799
"GHITM" 0.004240214822098 0.000282839864177929 -0.0111698631349515
"HOPX" 0.0378664933947978 -0.0659738820271727 0.0490600923005456
"FHL2" 0.0403097729801797 -0.0564612993131577 0.00989010223339177
"CD36" 0.0493857520297564 0.0364461767257134 -0.00771485481890368
"RIT2" -0.0477904669487866 0.00916081562930106 0.0572929118969836
"NDUFA4" 0.00868063484144755 -0.00749674866338291 0.00665421291565306
"MTAP4" -0.0173635771736969 -0.00647224285439892 0.00219010163673254
"TUBB4B" -0.00156061118451176 0.00333163960481018 -0.00169723291204793
"RANGAP1" -0.0261014466026788 -0.0136545166340869 0.00012788214335526
"CALM3" -0.0181525581591644 -0.000780756442251815 0.00573736336105662
"UQCRH" -0.00326141820108221 0.00428985014210909 -0.00644902782594813
"SYT1" -0.0634972221998932 -0.00520101328977859 -0.00959994292345399
"PCK1" 0.0224577124335597 0.0823620107198159 -0.0112651463922461
"NDUFS6" -0.00471757298443155 0.0109343439967994 -0.00682754702589547
"EPRS" 0.01114833649084 0.00327601208383886 -0.0222184455167712
"RPL39" 0.0122752627476966 -0.00561716538984585 0.00601857820796603
"NME7" -0.0203987097430048 -0.0523810510740051 0.00475140439146765
"COX7B" 0.00933413032549049 -0.0121314681891091 -0.0162197470665976
"MYH7" 0.0329076827543288 -0.05953532404154 0.0551929547638575
"RBM39" 0.0122591037608944 -0.00447701135065098 -0.00925107180073328
"CS" 0.0096119451996218 -0.000586230545796021 -0.0196711328134009
"PDK4" 0.0465710035501 0.0168932308972597 -0.00068942709582098
"PAM" -0.00598052789947353 -0.0364468110922477 0.0136031823636874
"SCAMP1" -0.0292384434039428 -0.0205946764020498 0.00431032099380506
"RAN" 0.00639858751147388 -0.00697706754536228 -0.00114652039084762
"RPS4X" 0.00827847273143101 0.00120933452916249 0.00982890370904775
"GCH1" -0.00945952958653941 0.0288852462483652 0.0949362948963015
"GAS5" 0.000194797634825023 0.00178127626838858 0.0145120245220077
"NPM1" 0.0117952129567068 -0.0143755293414556 -0.0173896604959088
"CDK1" 0.0416522269256264 -0.0288191331879427 0.014448331079268
"MPC2" 0.0108499238905885 -0.0045727173323986 -0.0217309334842614
"NDRG4" -0.0251810174815113 -0.0753878430766041 0.00364264593539873
"6330403K07RIK" -0.0459861320803056 -0.00547554563364222 0.0554075549382875
"KIF5B" 0.00427338987697392 0.00441855626930371 -0.00273051518631137
"ACOT7" -0.0353914575039321 -0.00635057388641136 -0.00140435884987978
"MBNL2" 0.00771046844359363 0.0160589940685742 -0.00297278870758972
"MRFAP1" -0.00082605190329142 -0.00835198854737792 -0.000151131216141948
"IDH2" 0.042552923078275 -0.0167525544569475 0.0205752978601197
"2010107E04RIK" 0.0038128841484993 -0.0121417780634301 -0.00780986190269938
"USE1" -0.00494273780422469 0.0150236137567271 0.0264846482408578
"QDPR" -0.00717060656917672 -0.0166382178374087 0.0154782369373677
"PCNA" 0.02776386159199 -0.0164670280828039 0.00351562416531281
"FSTL1" 0.0190884682115342 -0.00700259053764276 0.0298448341487568
"AKR1A1" -0.00559037754888414 0.00611890213708149 -0.00265651531821244
"TXN1" 0.00776645342043718 -0.00294887343679666 -0.0140332332957461
"PRKAR2B" -0.00167128190378286 0.0394104300977767 -0.0247189778355856
"EIF5B" 0.00318842180874719 -0.0122590198500464 -0.0185505766885269
"LIMS1" 0.0337704447283435 0.00108863237981142 -0.0121089043962701
"NDUFB5" 0.00393687201254537 -0.00654473177366347 -3.57020096671065e-06
"DNAJC12" -0.0192568511288419 -0.0077423345059659 0.0679937821623994
"ACO2" 0.00997476519617594 0.0037391885622078 -0.00403677060282953
"A730017C20RIK" -0.032800140270054 0.0150390532229641 0.0740185432126313
"PAICS" 0.0221995826856951 -0.0163747576563096 -0.00627059737238168
"EIF1A" 0.0154849382897648 0.0133463169143064 0.00920775389332317
"SRP14" -0.00124107171077078 -0.00521559324685243 -0.00394553414152216
"PAK3" -0.0409863426291685 -0.0207149423465299 0.0077071178839477
"LRPPRC" 0.0144246154210492 -0.0232932100395097 -0.00218317682266751
"AHI1" -0.0412605053436329 -0.00113241437984905 0.0260710376194233
"SYNJ1" -0.0320223524704078 -0.00469803037134452 -0.00796377125992919
"NME1" -0.0118228744122123 -0.0117971038999855 -0.0116959178525825
"PLEKHB1" -0.0197057844894865 0.0143361175494115 0.064743179077406
"ARF1" 0.00781742571206115 -0.00821030596177392 -0.00373348981477798
"CCT7" -0.00693473727475397 -0.0131966537096395 0.0036612242319973
"PFN2" -0.0250801340400503 -0.0501443197089592 -0.00171580653123096
"SCG3" -0.0491853019784995 -0.00411943755220375 -0.00210571600936229
"SNCG" -0.0182455363648414 0.0583896489148352 0.0834598093322461
"SEC62" -0.00578497799074476 0.0037808660639846 -0.00171265850734231
"CAV1" 0.022238646825716 0.0770858148039026 -0.0181299623598127
"SPNB2" -0.00376892849989554 0.00209182066708933 -0.0169404997378284
"DUSP26" -0.0325835249654809 0.00169854973195623 0.0558562389297027
"DYNC1I2" -0.0107489030218375 0.00152943357750671 0.00503945303528972
"SCD2" 0.00278018262800785 -0.014450298223358 -0.00408372504614364
"REEP5" -0.0155455419335945 0.00325444314701046 -0.0181436911962225
"SRP72" -0.0109608281196783 0.00929572462547844 -0.00341305812844295
"RABGGTB" 0.0165212176639574 -0.0148521409365164 -0.00626746703193938
"ENO2" -0.0470882618444089 -0.00730117936850418 0.0031343070103566
"NUDT3" -0.0147524044709544 -0.00320917986097027 -0.0118112128381261
"CST3" -0.00406750245803168 0.0263463266954476 0.0177969819236634
"YWHAE" -0.000563495974620246 -0.0131719125697726 -0.00441473533740103
"MAOB" -0.019022294023335 0.0196756791453402 0.0953156896887059
"NDRG2" 0.00359371422993199 -0.0115030690913675 0.0574210489914198
"ESD" 0.0102398206517133 0.00813166951018095 -0.00977940992723744
"PSMC2" 0.00233203288443417 -0.000783613282165776 -0.0106662378129331
"CNTN1" -0.0583759287323643 -0.000930778935466113 -0.00193538585403047
"SLC30A9" -0.0134629889348236 0.00479093887032347 0.013305342501035
"MEST" 0.0243962120895242 -0.0439935606849413 0.0225135911636074
"RSAD2" 0.0143273098280021 0.0686269205489607 -0.00824975487379998
"NFIB" 0.0273095483743961 -0.00284144676809132 -0.0333911243141731
"COX4I1" -0.00695067484040594 0.00650124922304126 -0.00872488547284308
"TCEAL8" 0.0138954572613215 -0.0362095119479396 0.0193121766499354
"CFL2" 0.00644203607049973 -0.0198913472340716 -0.000121781864717396
"GNB2L1" 0.00665829343511816 0.00337437132788838 -0.0111952463103615
"CTSL" 0.00707454063765697 0.0143446116344355 0.00997704625338292
"PKP4" -0.0113035422305289 -0.0284370512328531 -0.0155451443568748
"MTAP7D2" -0.0567687043833269 -0.0153128720602567 -0.0033158736294853
"NARS" -0.0145020288352794 0.00261502224497632 -0.00995530225701435
"CTNNA1" 0.0373939406581573 0.00981713827197402 0.018993213454113
"DCLK1" -0.044354947751869 0.0107682176037423 -0.0351455490281649
"KRCC1" 0.0490400482894686 0.0102981250223033 0.00474803853174313
"DUSP3" -0.0151098014453594 0.020049330307697 -0.0128630150409581
"RPS5" 0.00546897960871722 0.00695481606131366 0.00884198553141207
"MTCH1" -0.0150234482994768 0.0055004949334153 0.00545435135623421
"UBB" -0.00812170482169911 -0.0335908336023233 0.00439138540168373
"MDH2" 0.0038169229649024 -0.00778895202713556 -0.00544312098676758
"CALU" 0.0334036987676555 -0.0148882875309008 -0.0195462409700856
"ATP1B1" -0.0246953842972983 -0.0676760772661126 -0.000347867530693237
"2900011O08RIK" -0.0499987108473108 -9.40052971648144e-05 -0.00598541329128488
"PRKACB" -0.013312701409169 -0.00924028935719332 -0.00415475770690546
"HSPA4" -0.00480602397833104 0.00868464411141912 -0.0153274320708562
"PLA2G16" 0.0520857339701009 0.016583156511269 0.0135327281406706
"SPC25" 0.0286075392934341 -0.0204026926208525 -0.00545747607826841
"ATP6V1D" -0.00986692474136524 -0.0175322599544039 -0.00459193964208887
"SHFM1" 0.0143560857523468 -0.0108161617700331 0.00275240875039561
"HSPH1" -0.0239951426930467 0.00227532576398227 0.0104561264028607
"TSPAN3" -0.000504425667274106 -0.0232951905793808 -0.0111261644563731
"ID2" 0.010465405130374 -0.0055967931493472 -0.0238889920528254
"KLF6" 0.015240853574038 -0.000573327259291429 0.00158136165976942
"UBE2C" 0.0370735675880961 -0.0247248746634975 0.0141586720695336
"RPS3" -0.00324371514649209 0.00369178854669974 -0.00321928924064118
"NDUFC2" 0.0050515884934669 -0.00863290001208147 -0.0104502092376795
"UCHL1" -0.0314660144086362 -0.0235658530607479 0.0197913470629089
"GPRASP2" -0.0429269919321602 -0.0275200887775261 0.0276623947880562
"NDUFB10" 0.00120245775449794 -0.00633694341955899 9.27519397388147e-05
"ATP8A1" -0.0389095784145887 -0.00633987942330139 0.00505442009088831
"ATP6V1A" -0.0158182746427754 0.00708684309985527 -0.0152174955031113
"RTN3" -0.0170063599719527 -0.0101157558635953 -0.0146576601976677
"HADHB" 0.0293638471394032 0.0115713824423779 0.0203543055198974
"PDLIM5" 0.039167195898229 -0.0265929677861571 0.00354223044660102
"CELF4" -0.0587878267600925 0.0102855212727529 -0.010742005192678
"PSMD14" 0.00575439304466429 -0.010733648411326 -0.0188334498726181
"GATA3" -0.0287015505324531 0.0168509423836534 0.0738577435106127
"SDHB" 0.00589880020671501 -0.00219032604457536 -0.00672280092920445
"STMN1" -0.0193419599141411 -0.0543314373226072 0.00126381754444083
"MRAP2" -0.0188917738084605 0.0126575141056223 0.0610522880175119
"CAMK2N1" -0.0508969977368794 0.00205954269425074 0.0182908535717017
"RAB1" 0.00191801436922701 -0.00601911630218905 -0.00695369400744969
"GNL3L" -0.0325440765795579 0.00977475590457285 -0.0238938860659136
"MLLT11" -0.040374339754252 -0.00832540186145861 -0.0123722894896183
"TSC22D1" -0.00960757307829358 -0.00785839117615902 -0.0173222594811985
"BEX4" 0.00504393581342911 -0.0625681199849052 0.0695879611698105
"TUBA1C" 0.028381383680385 0.00454036082501246 0.028988597289842
"RAB6B" -0.0567564244605824 -0.0119290261321503 -0.0156902530295459
"ACADVL" 0.0228593288664783 0.0321059277100285 -0.0127634057807589
"SORBS1" 0.00193818876949325 0.0336058936153938 -0.0286399180978004
"ITM2B" 0.000528259685970664 -0.00619322033210383 -9.27469632365943e-05
"LUC7L3" -0.00455487565225412 -0.017294952601179 -0.00459397249337889
"EIF1" -0.000529615648754332 -0.00654785358963871 -0.00220922535772218
"MAP2K1" 0.00234568449846041 -0.000948693431352849 0.00844332993638398
"SPR" 0.0139916096576319 0.0149157713194218 0.0166093290622277
"EIF3F" 0.00278424757079056 0.0112228353447604 0.00512872643140867
"SEPT2" 0.039282307898387 0.00252044226728816 -0.00868239004682654
"NSG1" -0.0474920719774206 -0.00279350928323446 -0.0170290189758029
"RNF11" 0.00360668465722761 -0.00394416377304083 -0.0145525409777513
"IMPACT" -0.0347949863659312 0.0183187116557538 0.0124236983739717
"ACTR3" 0.0115495116439594 -0.00398244012352695 0.00303072551455873
"SUCLG1" 0.00691389076660216 0.00230650882709648 -0.0103740431863524
"NUDT4" 0.00180764717392728 -0.00327909158884253 -0.0221577832021993
"SDF2" 0.00235371857920057 -0.00190952236695008 0.00268511417495788
"HIBCH" 0.0307623905241049 0.0251710655350233 0.0159200367899279
"HSD17B12" -0.00529227231901655 0.00537290261559097 -0.0251329624407544
"KCNS2" -0.0133987405825605 0.00350971695763683 -0.0173004420393382
"TNKS2" 0.0160649985849011 0.00747353336923944 -0.0164820031054298
"HINT1" 9.76510972746646e-05 -0.00969827060324801 -0.0127895325982647
"BAG1" -0.00670102258460938 0.0282156295154693 0.00505020955634724
"ACOT2" 0.0294051163257348 0.0245515990405077 -0.00107918065353107
"HNRNPAB" 0.0074360151767696 -0.0082667958603709 0.0027190196324941
